,audio_files,no_of_channels,frame_rate,sample_width,max_amplitude,no_of_ms,frame_width
0,file1.wav,2,44100,2,32768,19357,4
1,file139.wav,2,44100,2,32768,74971,4
2,file105.wav,2,44100,2,32768,666201,4
3,file111.wav,2,44100,2,32768,50547,4
4,file27.wav,2,44100,2,32768,122436,4
5,file33.wav,2,44100,2,32768,885368,4
6,file32.wav,2,44100,2,32768,449019,4
7,file26.wav,2,44100,2,32768,625136,4
8,file110.wav,2,44100,2,32768,598230,4
9,file104.wav,2,44100,2,32768,1370958,4
10,file138.wav,2,44100,2,32768,111464,4
11,file2.wav,2,44100,2,23542,2220,4
12,file112.wav,2,44100,2,32768,3217293,4
13,file106.wav,2,44100,2,32768,2168,4
14,file30.wav,2,44100,2,32768,94929,4
15,file24.wav,2,48000,2,25500,83088,4
16,file18.wav,2,44100,2,32768,60865,4
17,file19.wav,2,44100,2,32768,2612,4
18,file25.wav,2,44100,2,20199,1829,4
19,file31.wav,2,44100,2,32768,43442,4
20,file107.wav,2,44100,2,32768,170214,4
21,file113.wav,2,44100,2,32768,98952,4
22,file3.wav,2,44100,2,32768,50181,4
23,file7.wav,2,44100,2,19573,7523,4
24,file117.wav,2,44100,2,32768,270028,4
25,file103.wav,2,44100,2,32768,211461,4
26,file35.wav,2,44100,2,32768,84663,4
27,file21.wav,2,44100,2,32768,37982,4
28,file20.wav,2,44100,2,1610,287,4
29,file34.wav,2,44100,2,32767,25940,4
30,file102.wav,2,44100,2,30804,1698,4
31,file116.wav,2,44100,2,32768,1233737,4
32,file6.wav,2,44100,2,32768,987455,4
33,file4.wav,2,44100,2,32768,57469,4
34,file100.wav,2,44100,2,32768,680777,4
35,file114.wav,2,44100,2,32768,225515,4
36,file128.wav,2,44100,2,32768,380291,4
37,file22.wav,2,44100,2,32768,28421,4
38,file36.wav,2,44100,2,32768,27742,4
39,file37.wav,2,44100,2,32768,133512,4
40,file23.wav,2,48000,2,25709,71904,4
41,file129.wav,2,44100,2,32768,179513,4
42,file115.wav,2,44100,2,32768,217861,4
